Date,address,daily_trx,trx_fee,hashrate,price,Supply
2012-11-25,3237,1141,0.0032,558811919,0.0618,12566616.666664965
2012-11-26,2821,1066,0.00399,606301552,0.0612,12583283.333331633
2012-11-27,2770,952,0.00236,614675566,0.0618,12624949.9999983
2012-11-28,2965,1102,0.00278,612306998,0.0655,12666616.666664965
2012-11-29,4114,1702,0.00291,974369339,0.0734,12683283.333331633
2012-11-30,4037,1622,0.00384,1263322100,0.0802,12724949.9999983
2012-12-01,3490,1414,0.00439,1497826651,0.0825,12774949.9999983
2012-12-02,2072,771,0.00517,1136787024,0.0806,12824949.9997483
2012-12-03,1601,638,0.00567,640380590,0.0766,12862449.9744983
2012-12-04,2008,778,0.00402,670306794,0.0763,12874949.9494983
2012-12-05,2934,693,0.00647,745240372,0.0752,12887449.924498301
2012-12-06,1686,603,0.00329,733567601,0.0774,12916616.4994983
2012-12-07,2510,965,0.00349,739812188,0.0788,12933283.0994983
2012-12-08,3675,1630,0.00333,1140374947,0.0773,12974949.649498299
2012-12-09,4480,2258,0.00469,1370798563,0.0777,13016616.266164966
2012-12-10,3068,1274,0.00595,1045429868,0.0782,13033282.932831634
2012-12-11,2206,623,0.0041,684278999,0.0788,13062443.3494983
2012-12-12,1796,646,0.00439,720305172,0.0797,13074937.0994983
2012-12-13,1873,666,0.00405,698696814,0.0788,13087430.8494983
2012-12-14,2179,846,0.00572,715398940,0.078,13116591.132664967
2012-12-15,2758,1068,0.00379,692114436,0.0775,13133257.665831633
2012-12-16,3494,1376,0.0029,1174443695,0.078,13174924.148998301
2012-12-17,2887,1090,0.0033,1488249753,0.0767,13216590.765664967
2012-12-18,1869,686,0.00359,926291507,0.0766,13233257.432331635
2012-12-19,1762,592,0.00449,791661349,0.0758,13262424.0739983
2012-12-20,1978,810,0.00388,800528604,0.0759,13274924.0489983
2012-12-21,2275,820,0.00476,824577808,0.0769,13287424.023998301
2012-12-22,2183,690,0.0039,720055894,0.0774,13316590.5319983
2012-12-23,3042,1142,0.00316,950133398,0.0765,13333257.0649983
2012-12-24,3095,1131,0.00238,1186456231,0.0765,13374923.547748301
2012-12-25,2342,903,0.00343,1328004811,0.0766,13416590.1639983
2012-12-26,2045,677,0.00379,983094319,0.0758,13433256.8304983
2012-12-27,1873,654,0.00634,816579647,0.0755,13466590.163664967
2012-12-28,1661,577,0.00325,830421492,0.0745,13483256.830331635
2012-12-29,1765,588,0.00346,851841400,0.0744,13516590.163664967
2012-12-30,2235,775,0.00387,836422209,0.0728,13533256.830331635
2012-12-31,2280,807,0.00319,990697037,0.0714,13574923.4969983
2013-01-01,2213,635,0.00288,1031181844,0.0704,13616590.130331634
2013-01-02,1826,590,0.00243,1008785852,0.0703,13633256.763664968
2013-01-03,2113,620,0.00512,765576040,0.0703,13666590.030331634
2013-01-04,1867,573,0.0033,885373973,0.0704,13683256.663664967
2013-01-05,1860,679,0.00609,687279835,0.0716,13712423.2969983
2013-01-06,2461,1006,0.00416,545309915,0.0731,13724923.2969983
2013-01-07,2598,990,0.00285,776736172,0.0729,13737423.2969983
2013-01-08,2381,861,0.00495,817978890,0.0722,13774923.2969983
2013-01-09,2651,952,0.00333,878662624,0.0716,13816589.930331632
2013-01-10,2701,1047,0.00384,782524999,0.0708,13833256.563664967
2013-01-11,2570,974,0.0111,702854978,0.0694,13866589.863664966
2013-01-12,2156,824,0.00403,645287486,0.0682,13883256.530331634
2013-01-13,2414,756,0.00671,663888402,0.0656,13916589.830331633
2013-01-14,2892,1248,0.00325,683676816,0.0625,13933256.463664968
2013-01-15,2633,979,0.00231,811267739,0.0623,13974923.0969983
2013-01-16,2402,910,0.00313,786931144,0.0619,14016589.730331633
2013-01-17,2201,774,0.00347,800781040,0.0627,14033256.363664968
2013-01-18,1968,633,0.00328,629785506,0.0624,14066589.5969983
