Timestamp,Hashrate,Addresses,Supply,Trx_Fee,Trx/Day
4/29/2016,2445.4120,173151,79554617.21875,23435252915232934293,37332
4/30/2016,2541.0507,179195,79586508.93750,32152456063466660004,45769
5/1/2016,2519.2786,181732,79617521.75000,36700669237387784791,39578
5/2/2016,2435.2643,185706,79649433.31250,27427867397761671491,41748
5/3/2016,2570.8192,187283,79681224.56250,26840990230658772630,37821
5/4/2016,2540.3269,188964,79712683.31250,27322747028915802991,37484
5/5/2016,2548.6649,190554,79744463.31250,31134811444692125769,38707
5/6/2016,2558.8020,191961,79776200.96875,35174889059576644978,41271
5/7/2016,2546.9321,193317,79807774.09375,24227823434161325933,35864
5/8/2016,2596.7218,194961,79839623.31250,28900901275870200168,40063
5/9/2016,2619.8292,196739,79871424.71875,26341933886110361922,38560
5/10/2016,2678.5523,198321,79903125.65625,27701449553180009624,40684
5/11/2016,2576.6882,200962,79934378.78125,31626825816818447548,40811
5/12/2016,2640.5013,204086,79966635.81250,39262539721951262654,45002
5/13/2016,2813.5085,206863,79998832.53125,43190009936221245086,47737
5/14/2016,2768.5727,209138,80030500.34375,35451335069212514324,45745
5/15/2016,2787.9132,211568,80062308.93750,31305207361924575518,43073
5/16/2016,2782.0494,213318,80093820.50000,27598439816888668958,37424
5/17/2016,2777.3602,215820,80126012.68750,28466737377311740959,40309
5/18/2016,2893.0189,220927,80158417.06250,35070045109628170941,46033
5/19/2016,2959.2314,224845,80190320.65625,33144675121741165112,44523
5/20/2016,3019.8040,230158,80222410.34375,38027969373234813737,45177
5/21/2016,3042.5019,234753,80254249.87500,35799931136886349169,43621
5/22/2016,3034.0969,237169,80286506.12500,28876089114767099035,38895
5/23/2016,3047.7928,239919,80318586.75000,29634409335139757355,43806
5/24/2016,3097.5979,242437,80350590.03125,28595806683225445245,42911
5/25/2016,3126.5085,245842,80382947.06250,32733418165197362462,46443
5/26/2016,3161.3230,248713,80414991.43750,35558395839949500289,51147
5/28/2016,3253.1913,261602,80447310.03125,80972786453789024796,70148
5/27/2016,3175.1154,265876,80479631.75000,37995661451688502586,49006
5/29/2016,3275.4294,269270,80511604.09375,38788722911244233225,45890
5/30/2016,3266.9893,271793,80543608.15625,31855746822442454982,42927
5/31/2016,3226.0808,274614,80575141.12500,31154237675102767413,44386
6/1/2016,3170.4475,277124,80607285.34375,31200754211332030799,42221
6/2/2016,3240.5703,279202,80639467.53125,25860107097704162395,39666
6/3/2016,3413.4593,281283,80671739.71875,25240089714403314963,39834
6/4/2016,3396.8318,283172,80703881.28125,24383532747843846176,37875
6/5/2016,3326.0748,285007,80735464.40625,23838806076398615509,37896
6/6/2016,3441.9709,287195,80767836.28125,25866186268780527752,38957
6/7/2016,3465.5588,293517,80799782.21875,67482112136768209049,46141
6/8/2016,3478.0667,295834,80832085.18750,28430812192927453340,40433
6/9/2016,3639.7054,298208,80864311.12500,28894767011937517149,39854
6/10/2016,3424.0833,300769,80895475.34375,28896511606868581926,40145
6/11/2016,3555.1800,303280,80927850.81250,27224630239587474814,36901
6/12/2016,3581.6422,306177,80960067.68750,29164100998113033739,42581
6/13/2016,3714.9746,311130,80992291.90625,36906452815465346785,46185
6/14/2016,3749.4490,315391,81024437.37500,38469211435809060658,50335
6/15/2016,3718.5221,318367,81056304.40625,30456375914577276631,43251
6/16/2016,3717.1685,323909,81088182.06250,40815292250596776680,43392
6/17/2016,3864.3682,337984,81121598.46875,229306004249127446201,66558
6/18/2016,3764.2320,352687,81155985.65625,271194911213586295596,63083
6/19/2016,3855.0105,359236,81189181.12500,54127484677533448797,51035
6/20/2016,3814.1165,364968,81220895.96875,51767217706211254887,47118
6/21/2016,3755.1058,369392,81252884.40625,82844435130139790283,47323
6/22/2016,3914.4371,375128,81285555.03125,51445064165343517221,48615
6/24/2016,3987.4979,378933,81317726.90625,39426748173337409785,45331
6/23/2016,3993.7808,382466,81349575.03125,31978269688479587669,41908
6/25/2016,3971.3075,384815,81381260.96875,28301648221378725640,36684
6/26/2016,4090.5901,387234,81413575.65625,27467985790382789811,41613
6/27/2016,4165.2564,389903,81445670.50000,27658056517978171783,39663
6/28/2016,4215.9351,393251,81477831.90625,32100177929689153995,43089
